PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
81,Ukraine,15733,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15733,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Proliska,National NGO,Enhancement of home-delivered assistance in isolated settlements along the  contact line due to COVID-19,"3 Months, 20 Days",504681.55,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),5/1/2020 12:00:00 AM,8/20/2020 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,925088.4450,Oblast,Luhanska,48.98548500,39.01766300,UKR44,12.06000
81,Ukraine,15734,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15734,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Polish Humanitarian Action,International NGO,Emergency home-based assistance to the most vulnerable households with elderly people residing in Donetska and Luhanska GCAs in response to the COVID-19 outbreak,3 Months,349165.88,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),4/21/2020 12:00:00 AM,7/20/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1400709.8340,Oblast,Donetska,48.04760900,37.67396200,UKR14,80.30000
81,Ukraine,15734,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15734,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Polish Humanitarian Action,International NGO,Emergency home-based assistance to the most vulnerable households with elderly people residing in Donetska and Luhanska GCAs in response to the COVID-19 outbreak,3 Months,349165.88,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),4/21/2020 12:00:00 AM,7/20/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1400709.8340,Oblast,Luhanska,48.98548500,39.01766300,UKR44,15.70000
81,Ukraine,15736,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15736,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,ICF Caritas Ukraine,National NGO,"Addressing multi-sectoral relief measures to elder people in 0-5 km area along the contact line isolated due to COVID-19 pandemic in Ukraine, 2020",3 Months 1 Days,449741.28,,"3- Likely to contribute to gender equality, but without attention to age groups",4/21/2020 12:00:00 AM,7/21/2020 12:00:00 AM,Under Refund,4224,PRJ_UND_REF,Project Closure,8,922182.4080,Oblast,Donetska,48.04760900,37.67396200,UKR14,75.00000
81,Ukraine,15736,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15736,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,ICF Caritas Ukraine,National NGO,"Addressing multi-sectoral relief measures to elder people in 0-5 km area along the contact line isolated due to COVID-19 pandemic in Ukraine, 2020",3 Months 1 Days,449741.28,,"3- Likely to contribute to gender equality, but without attention to age groups",4/21/2020 12:00:00 AM,7/21/2020 12:00:00 AM,Under Refund,4224,PRJ_UND_REF,Project Closure,8,922182.4080,Oblast,Luhanska,48.98548500,39.01766300,UKR44,25.00000
81,Ukraine,16120,UKR-20/UKR_CBPF/SA1/FSL-CSS-WASH/NGO/16120,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Charitable Organization Charitable Foundation “Development Center',National NGO,Reducing the risk of complicating the negative consequences of COVID-19 pandemic in Donetsk NGCA,12 Months,176662.57,,"4- Likely to contribute to gender equality, including across age groups",7/27/2020 12:00:00 AM,7/26/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,919760.7105,Oblast,Donetska,48.04760900,37.67396200,UKR14,94.90000
81,Ukraine,16125,UKR-20/UKR_CBPF/SA1/H-N/NGO/16125,Fondation Humanitaire Internationale AICM Ukraine,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Fondation Humanitaire Internationale AICM Ukraine,National NGO,'Life saving' Medical Equipment for the Luhansk Hospitals specialized  in COVID-19.,3 Months 29 Days,201195.97,,0- Does not systematically link programming actions,6/11/2020 12:00:00 AM,10/9/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,917823.3525,Oblast,Luhanska,48.98548500,39.01766300,UKR44,100.00000
81,Ukraine,16131,UKR-20/UKR_CBPF/SA1/WASH-FSL/INGO/16131,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,People in Need,International NGO,"Multi-sectoral humanitarian assistance for the most vulnerable elderly and people with disability living along the line of contact in Luhanks Oblast, NGCA",6 Months,376188.75,,"4- Likely to contribute to gender equality, including across age groups",8/1/2020 12:00:00 AM,1/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1314013.0635,Oblast,Luhanska,48.98548500,39.01766300,UKR44,25.00000
81,Ukraine,16133,UKR-20/UKR_CBPF/SA1/WASH-CSS-FSL/INGO/16133,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA during COVID19 pandemic,4 Months 17 Days,216050,,"4- Likely to contribute to gender equality, including across age groups",10/1/2020 12:00:00 AM,2/17/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1409912.2845,Oblast,Donetska,48.04760900,37.67396200,UKR14,90.80000
81,Ukraine,16136,UKR-20/UKR_CBPF/SA1/CSS/INGO/16136,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Agency for Technical Cooperation and Development,International NGO,Humanitarian Situation Monitoring in Non-Government Controlled Areas (NGCA) of Donetsk and Luhansk,15 Months,150000,,"4- Likely to contribute to gender equality, including across age groups",6/22/2020 12:00:00 AM,9/21/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1188569.1330,Oblast,Donetska,48.04760900,37.67396200,UKR14,9.21000
