PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Yemen,64,0,149,YEM-13/X/3420/ER/S-NFI/NGO/149,DMA-ERF-O483-0483/105,,2013,1,Reserve,Sama Al Yemen Foundation,National NGO,Rent Support for IDPs in Amran governorate,12/29/2013 12:00:00 AM,7/31/2014 12:00:00 AM,7,231281,0,0,11/21/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,12/29/2013 12:00:00 AM,7/31/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,60473.6000,0,,1/30/2014 12:00:00 AM
Yemen,64,0,157,YEM-13/X/3420/ER/N/INGO/157,DMA-ERF-O483-0483/108,,2013,1,Reserve,ISLAMIC RELIEF,International NGO,"Emergency Nutrition Response for Acutely Malnourished Children in Hydan and Saqayn districts of Saada Governorate, Yemen",1/29/2014 12:00:00 AM,6/30/2014 12:00:00 AM,6,388875.02,0,0,12/5/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,1/29/2014 12:00:00 AM,6/30/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,36888.8960,0,,2/14/2014 12:00:00 AM
Yemen,64,0,158,YEM-13/X/3420/ER/H/NGO/158,DMA-ERF-O483-0483/109,,2013,1,Reserve,National Foundation for Development and Human Rights,National NGO,"Emergency response to the urgent medical needs to the conflict affected people in Al Ashah and Al Gaflah district, Amran governorate",12/29/2013 12:00:00 AM,3/31/2014 12:00:00 AM,3,228056.59,0,0,12/6/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,12/29/2013 12:00:00 AM,3/31/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,47471.7760,0,,1/30/2014 12:00:00 AM
Yemen,64,0,159,YEM-13/X/3420/ER/SNS/INGO/159,DMA-ERF-O483-0483/107,,2013,1,Reserve,PROGRESSIO,International NGO,Improved WASHconditions to un registered IDPs outside the designated camps and host communities in Haradh directorate Hajja Governorate.,12/29/2013 12:00:00 AM,6/30/2014 12:00:00 AM,6,344636.21,0,0,12/6/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,12/29/2013 12:00:00 AM,6/30/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,58054.6560,0,,1/30/2014 12:00:00 AM
Yemen,64,0,176,YEM-14/X/3420/ER/CSS/INGO/176,DMA-ERF-O483-0483/110,,2014,1,Reserve,Agency for Technical Cooperation and Development,International NGO,Establishment of a Common Needs Assessment Platform to enhance humanitarian planning and cooperation in Yemen,2/3/2014 12:00:00 AM,7/20/2014 12:00:00 AM,6,28872.58,0,0,1/14/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,2/3/2014 12:00:00 AM,7/20/2014 12:00:00 AM,Project Closed,22,,Project Closure,16,3326.0480,0,,2/17/2014 12:00:00 AM
Yemen,64,0,198,YEM-14/X/3420/ER/H/INGO/198,DMA-ERF-O483-0483/111,,2014,1,Reserve,Humanitarian Aid & Development,International NGO,"Rehabilitation of Health Units, Provision of essential equipment & Medicine, Capacity building of Community Health Workers & Increase Community awareness on personal hygiene, Sanitation and use of Clean Water",2/24/2014 12:00:00 AM,8/10/2014 12:00:00 AM,6,411852.5,0,0,2/2/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,2/24/2014 12:00:00 AM,8/10/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,33260.4800,0,,3/6/2014 12:00:00 AM
Yemen,64,0,208,YEM-14/X/3420/ER/H/INGO/208,DMA-ERF-O483-04863/112,,2014,1,Reserve,Humanitarian Aid & Development,International NGO,"Primary health services, provision of essential medicines through existing health units/centres and WASH basic services, supporting IDPs through distribution and provisions of Non-Food Items (NFIs).",2/24/2014 12:00:00 AM,9/30/2014 12:00:00 AM,7,485299.08,0,0,2/16/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,2/24/2014 12:00:00 AM,9/30/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,33260.4800,0,,3/6/2014 12:00:00 AM
Yemen,64,0,211,YEM-14/X/3420/ER/WASH/INGO/211,DMA-ERF-O483-0483/113,,2014,1,Reserve,PROGRESSIO,International NGO,"Improved access to WASH services for marginalized Al-Akdam communities in Eastern and Western Al-Baida districts, Al-Hali sub district of Al Hudaydah Governorate",2/27/2014 12:00:00 AM,8/31/2014 12:00:00 AM,6,229732.17,0,0,2/17/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,2/27/2014 12:00:00 AM,8/31/2014 12:00:00 AM,Project Closed,22,,Project Closure,16,58054.6560,0,,3/10/2014 12:00:00 AM
Yemen,64,0,214,YEM-14/X/3420/ER/P/INGO/214,DMA-ERF-O483-0483/114,,2014,1,Reserve,INTERSOS,International NGO,Enhancing essential and community-based protection for returnees and war-affected communities in Jaar area,3/18/2014 12:00:00 AM,12/15/2014 12:00:00 AM,9,402772.45,0,0,2/12/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,3/18/2014 12:00:00 AM,12/15/2014 12:00:00 AM,Project Closed,22,,Project Closure,16,35981.7920,0,,4/9/2014 12:00:00 AM
Yemen,64,0,216,YEM-14/X/3420/ER/S-NFI/NGO/216,DMA-ERF-O483-0483/115,,2014,1,Reserve,CSSW,National NGO,"Emergency support and access humanitarian assistance (NFIs) for IDPs & host community   in the targeted districts (Harad, Mustaba, Abs, and Midi) in Hajjah governorate (in accessible areas)”, ",2/28/2014 12:00:00 AM,5/31/2014 12:00:00 AM,3,359194,0,0,2/17/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,2/28/2014 12:00:00 AM,5/31/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,20561.0240,0,,3/12/2014 12:00:00 AM
