PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38538,Emergency Shelter and NFI,,76,699200
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38538,Protection,,24,220800
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38541,Education,,22,198000.0022
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38541,Food Security,,22,198000.0022
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38541,Multi-Sector,,34,306000.0034
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38541,Protection,,11,99000.0011
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38548,Health,,55,220000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38548,Nutrition,,45,180000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38561,Food Security,,67,301500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38561,Protection,,33,148500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38567,Protection,,14,98000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38567,"Water, Sanitation and Hygiene",,72,504000
